district,2016,2019,CAGR
Adilabad,5075557,775895,-0.465304641
Bhadradri Kothagudem ,889030,12817737,1.433875244
Hyderabad,23394705,13802362,-0.161289757
Jagtial ,623077,3086115,0.704603837
Jangaon ,40660,328890,1.007371551
Jayashankar Bhoopalpally,243400,662530,0.396245088
Jogulamba Gadwal ,523401,2007995,0.565462587
Kamareddy ,127,534,0.614033379
Karimnagar ,9167468,77491,-0.796295501
Khammam,5005031,1413440,-0.343919895
Komaram Bheem Asifabad,0,19189,0
Mahabubabad ,140002,152885,0.029777849
Mahbubnagar,8304766,2534815,-0.326703605
Mancherial,7802,269810,2.257997139
Medak ,3463200,5452570,0.163343298
Medchal ,0,0,0
Nagarkurnool ,588473,2093312,0.526519913
Nalgonda,5858461,140918,-0.711334881
Nirmal,916610,3816778,0.608807577
Nizamabad,6442,46333,0.93029299
Peddapalli,3244,16581,0.72256899
Rajanna Sircilla ,2176801,16832897,0.977485826
Ranga Reddy,0,0,0
Sangareddy ,778000,4553160,0.802095373
Siddipet,358400,2987864,1.027671552
Suryapet,0,0,0
Vikarabad,0,0,0
Wanaparthy ,60138,298639,0.70607917
Warangal (Rural),19400,353500,1.631454688
Warangal (Urban),25788035,1795230,-0.588628738
Yadadri Bhongir,1728600,4489374,0.374560183
Mulugu,0,1819800,0
Narayanapet,0,389250,0
